Kernel,gx,gy,gz,bx,by,bz,gpuId,efficiency-warp-execution 
 0, 16,  1,  3,  3,  16,  4, 0,100.0 
 0, 3,  16,  1,  16,  4,  3, 0,100.0 
 0, 1,  18,  16,  8,  1,  4, 0,100.0 
 0, 6,  8,  2,  2,  12,  4, 0,100.0 
 0, 2,  9,  2,  4,  64,  1, 1,100.0 
 1, 1,  3,  16,  8,  12,  2, 1,100.0 
 1, 1,  16,  1,  64,  3,  3, 1,100.0 
 0, 1,  12,  2,  12,  2,  16, 0,100.0 
 0, 6,  4,  4,  4,  1,  24, 0,100.0 
 0, 1,  1,  16,  6,  4,  24, 0,100.0 
 1, 8,  3,  2,  2,  32,  3, 1,100.0 
 0, 9,  1,  1,  2,  128,  4, 0,100.0 
 0, 1,  2,  6,  128,  3,  2, 0,100.0 
 1, 24,  1,  4,  96,  1,  1, 1,100.0 
 0, 12,  2,  4,  3,  4,  8, 1,100.0 
 1, 1,  6,  16,  4,  3,  8, 0,100.0 
 1, 2,  12,  6,  2,  16,  2, 1,100.0 
 0, 2,  2,  8,  24,  3,  4, 0,100.0 
 0, 1,  18,  1,  2,  32,  8, 0,100.0 
 1, 6,  2,  1,  1,  12,  64, 1,100.0 
 1, 16,  1,  1,  6,  48,  2, 0,100.0 
 1, 16,  1,  1,  48,  6,  2, 0,100.0 
 1, 9,  2,  1,  1,  512,  1, 1,100.0 
 1, 1,  24,  4,  2,  24,  2, 1,100.0 
 1, 2,  2,  18,  16,  1,  8, 0,100.0 
 1, 2,  1,  18,  8,  4,  8, 0,100.0 
 1, 4,  12,  3,  1,  1,  64, 1,100.0 
 0, 4,  3,  1,  24,  2,  16, 0,100.0 
 0, 1,  1,  48,  96,  1,  2, 0,100.0 
 0, 1,  18,  8,  2,  4,  8, 0,100.0 
 1, 12,  12,  1,  1,  2,  32, 1,100.0 
 0, 3,  1,  6,  32,  16,  1, 0,100.0 
 0, 2,  2,  4,  1,  64,  9, 0,100.0 
 0, 3,  1,  12,  1,  32,  8, 0,100.0 
 1, 1,  4,  4,  9,  16,  4, 1,100.0 
 1, 2,  2,  12,  4,  2,  24, 0,100.0 
 0, 16,  2,  1,  12,  24,  1, 0,100.0 
 1, 2,  3,  8,  4,  8,  6, 1,100.0 
 0, 48,  1,  1,  8,  2,  12, 0,100.0 
 0, 3,  6,  16,  2,  16,  1, 0,100.0 
 0, 2,  4,  3,  12,  2,  16, 0,100.0 
 1, 1,  9,  1,  128,  2,  4, 1,100.0 
 0, 1,  16,  6,  1,  48,  2, 0,100.0 
 1, 6,  4,  2,  2,  32,  3, 0,100.0 
 1, 1,  1,  36,  16,  2,  8, 1,100.0 
 1, 1,  2,  36,  32,  4,  1, 1,100.0 
 1, 9,  1,  1,  256,  1,  4, 0,100.0 
 0, 1,  3,  3,  256,  1,  4, 1,100.0 
 1, 2,  4,  6,  3,  16,  4, 1,100.0 
 0, 18,  4,  4,  8,  2,  2, 0,100.0 
 0, 2,  6,  8,  3,  2,  16, 0,100.0 
 0, 1,  6,  16,  3,  2,  16, 0,100.0 
 1, 4,  1,  24,  2,  1,  48, 1,100.0 
 1, 2,  1,  16,  24,  1,  12, 0,100.0 
 0, 32,  1,  1,  12,  8,  3, 0,100.0 
 0, 8,  12,  1,  6,  2,  8, 0,100.0 
 0, 1,  6,  2,  48,  8,  2, 1,100.0 
 0, 3,  4,  1,  4,  12,  16, 0,100.0 
 1, 1,  6,  4,  6,  8,  8, 0,100.0 
 1, 1,  6,  3,  32,  1,  16, 1,100.0 
 1, 6,  2,  4,  3,  32,  2, 1,100.0 
 0, 4,  1,  4,  8,  12,  6, 0,100.0 
 0, 1,  6,  12,  1,  2,  64, 0,100.0 
 1, 1,  32,  1,  4,  9,  8, 1,100.0 
 0, 2,  2,  3,  128,  1,  6, 0,100.0 
 1, 1,  3,  8,  32,  3,  4, 1,100.0 
 0, 4,  12,  3,  32,  2,  1, 1,100.0 
 1, 8,  36,  1,  4,  1,  8, 1,100.0 
 1, 2,  1,  8,  576,  1,  1, 0,100.0 
 1, 8,  3,  3,  2,  64,  1, 1,100.0 
 1, 1,  36,  2,  2,  16,  4, 0,100.0 
 0, 2,  6,  24,  2,  16,  1, 0,100.0 
 0, 2,  8,  1,  2,  288,  1, 0,100.0 
 1, 4,  36,  1,  1,  1,  64, 1,100.0 
 0, 2,  2,  6,  2,  3,  64, 0,100.0 
 0, 1,  4,  3,  16,  8,  6, 0,100.0 
 0, 2,  4,  36,  2,  16,  1, 1,100.0 
 1, 3,  4,  3,  32,  4,  2, 0,100.0 
 1, 1,  6,  6,  4,  16,  4, 1,100.0 
 0, 1,  4,  8,  3,  2,  48, 0,100.0 
 0, 4,  24,  3,  4,  4,  2, 0,100.0 
 0, 6,  8,  1,  6,  32,  1, 0,100.0 
 1, 2,  48,  3,  1,  16,  2, 1,100.0 
 0, 2,  3,  2,  24,  1,  32, 1,100.0 
 0, 16,  1,  2,  8,  6,  6, 0,100.0 
 1, 2,  6,  3,  2,  16,  8, 1,100.0 
 0, 6,  8,  3,  4,  1,  16, 1,100.0 
 1, 16,  2,  1,  8,  6,  6, 0,100.0 
 1, 1,  2,  6,  8,  24,  4, 0,100.0 
 1, 2,  8,  2,  1,  36,  8, 1,100.0 
 0, 8,  6,  2,  1,  32,  3, 0,100.0 
 0, 3,  6,  2,  16,  1,  16, 0,100.0 
 0, 1,  4,  4,  8,  4,  18, 1,100.0 
 1, 1,  4,  4,  4,  12,  12, 1,100.0 
 0, 12,  4,  3,  1,  1,  64, 0,100.0 
 1, 4,  4,  2,  8,  36,  1, 1,100.0 
 1, 96,  3,  1,  8,  2,  2, 1,100.0 
 0, 1,  24,  12,  8,  2,  2, 0,100.0 
 1, 3,  2,  12,  4,  1,  32, 1,100.0 
 1, 1,  18,  16,  16,  1,  2, 1,100.0 
 0, 72,  1,  4,  1,  2,  16, 0,100.0 
 0, 3,  2,  2,  12,  4,  16, 0,100.0 
 0, 6,  8,  2,  2,  48,  1, 0,100.0 
 1, 2,  144,  1,  1,  16,  2, 1,100.0 
 0, 1,  32,  3,  2,  4,  12, 0,100.0 
 0, 3,  1,  96,  2,  8,  2, 0,100.0 
 1, 12,  1,  2,  16,  1,  24, 1,100.0 
 1, 1,  2,  16,  6,  3,  16, 0,100.0 
 1, 1,  1,  16,  9,  32,  2, 1,100.0 
 0, 6,  4,  1,  24,  16,  1, 1,100.0 
 1, 2,  9,  4,  1,  4,  32, 1,100.0 
 0, 4,  3,  6,  4,  4,  8, 0,100.0 
 0, 1,  4,  72,  16,  2,  1, 0,100.0 
 0, 2,  2,  3,  128,  6,  1, 0,100.0 
 1, 4,  12,  2,  96,  1,  1, 1,100.0 
 0, 1,  12,  4,  2,  6,  16, 0,100.0 
 0, 1,  4,  6,  8,  48,  1, 0,100.0 
 1, 1,  24,  4,  2,  3,  16, 1,100.0 
 1, 4,  6,  12,  2,  16,  1, 1,100.0 
 0, 4,  1,  9,  64,  4,  1, 0,100.0 
 0, 1,  16,  2,  16,  18,  1, 0,100.0 
 1, 2,  1,  8,  2,  96,  3, 1,100.0 
 1, 1,  1,  24,  16,  12,  2, 1,100.0 
 0, 3,  2,  12,  8,  1,  16, 0,100.0 
 1, 4,  36,  2,  1,  8,  4, 1,100.0 
 0, 6,  6,  2,  2,  16,  4, 0,100.0 
 1, 144,  2,  1,  2,  1,  16, 0,100.0 
 1, 4,  1,  3,  4,  6,  32, 1,100.0 
 0, 2,  8,  1,  12,  2,  24, 0,100.0 
 0, 1,  24,  1,  8,  24,  2, 0,100.0 
 1, 1,  4,  12,  4,  24,  2, 1,100.0 
 0, 3,  1,  4,  16,  12,  4, 0,100.0 
 1, 4,  2,  4,  1,  96,  3, 1,100.0 
 0, 4,  8,  1,  3,  6,  16, 0,100.0 
 1, 1,  9,  4,  4,  64,  1, 1,100.0 
 0, 6,  12,  4,  1,  32,  1, 1,100.0 
 0, 1,  1,  12,  24,  1,  32, 0,100.0 
 0, 4,  6,  1,  2,  32,  6, 0,100.0 
 0, 6,  8,  3,  1,  4,  16, 0,100.0 
 0, 3,  1,  4,  8,  48,  2, 0,100.0 
 1, 4,  1,  36,  16,  1,  4, 1,100.0 
 0, 16,  2,  1,  4,  24,  3, 0,100.0 
 0, 1,  6,  6,  8,  1,  32, 1,100.0 
 0, 4,  12,  1,  4,  1,  48, 0,100.0 
 1, 8,  3,  2,  4,  8,  6, 1,100.0 
 0, 12,  2,  12,  2,  2,  8, 1,100.0 
 1, 16,  9,  2,  4,  1,  8, 1,100.0 
 0, 2,  3,  24,  4,  16,  1, 0,100.0 
 0, 8,  1,  2,  24,  24,  1, 0,100.0 
 0, 16,  1,  6,  6,  4,  4, 0,100.0 
 1, 9,  2,  16,  4,  2,  4, 1,100.0 
 0, 4,  24,  3,  16,  2,  1, 1,100.0 
 0, 4,  1,  4,  4,  48,  3, 0,100.0 
 1, 6,  16,  1,  8,  2,  6, 1,100.0 
 0, 3,  3,  2,  4,  16,  8, 1,100.0 
 0, 2,  16,  3,  1,  32,  3, 1,100.0 
 1, 1,  3,  8,  3,  2,  64, 1,100.0 
 0, 1,  1,  96,  8,  3,  4, 0,100.0 
 0, 6,  1,  3,  128,  1,  4, 0,100.0 
 1, 3,  16,  6,  4,  4,  2, 1,100.0 
 0, 12,  3,  8,  1,  4,  8, 0,100.0 
 1, 3,  16,  1,  4,  8,  6, 1,100.0 
 1, 8,  2,  2,  1,  48,  6, 1,100.0 
 0, 9,  4,  2,  8,  1,  16, 0,100.0 
 1, 2,  36,  2,  2,  1,  32, 0,100.0 
 1, 1,  1,  48,  12,  8,  2, 1,100.0 
 0, 2,  1,  8,  6,  3,  32, 0,100.0 
 0, 3,  2,  16,  2,  4,  12, 0,100.0 
 0, 2,  2,  24,  1,  96,  1, 0,100.0 
 1, 4,  4,  1,  9,  4,  16, 1,100.0 
 1, 2,  1,  9,  4,  4,  32, 1,100.0 
 1, 8,  1,  12,  2,  2,  24, 0,100.0 
 1, 36,  1,  1,  4,  8,  8, 1,100.0 
 1, 2,  4,  12,  6,  4,  4, 0,100.0 
 1, 1,  12,  4,  4,  12,  4, 1,100.0 
 0, 4,  3,  2,  1,  32,  12, 0,100.0 
 0, 6,  8,  1,  3,  16,  4, 0,100.0 
 1, 1,  8,  4,  3,  4,  24, 1,100.0 
 1, 1,  1,  72,  8,  16,  1, 1,100.0 
 1, 2,  1,  8,  16,  36,  1, 0,100.0 
 0, 6,  1,  4,  1,  96,  4, 1,100.0 
 0, 16,  1,  1,  144,  2,  2, 1,100.0 
 1, 6,  16,  1,  2,  8,  6, 1,100.0 
 0, 2,  2,  24,  3,  1,  32, 0,100.0 
 0, 1,  24,  2,  48,  4,  1, 0,100.0 
 0, 9,  1,  2,  16,  16,  2, 0,100.0 
 1, 1,  4,  9,  4,  16,  4, 1,100.0 
 0, 1,  72,  1,  2,  1,  64, 0,100.0 
 1, 1,  1,  16,  16,  9,  4, 1,100.0 
 0, 3,  1,  8,  3,  64,  2, 0,100.0 
 1, 1,  6,  2,  4,  3,  64, 1,100.0 
 0, 6,  4,  1,  1,  24,  16, 1,100.0 
 1, 2,  8,  6,  6,  2,  8, 1,100.0 
 0, 4,  1,  3,  96,  1,  8, 0,100.0 
 0, 18,  2,  1,  16,  16,  1, 0,100.0 
 1, 3,  2,  2,  16,  8,  6, 1,100.0 
 0, 24,  2,  1,  1,  8,  24, 0,100.0 
 1, 6,  1,  2,  256,  1,  3, 1,100.0 
 0, 2,  1,  16,  36,  4,  2, 0,100.0 
 0, 1,  8,  18,  32,  2,  1, 0,100.0 
 1, 1,  6,  2,  4,  16,  12, 0,100.0 
 1, 1,  6,  3,  256,  1,  2, 1,100.0 
 0, 6,  2,  6,  16,  8,  1, 0,100.0 
 0, 1,  1,  48,  24,  1,  8, 0,100.0 
 1, 2,  16,  1,  12,  8,  3, 1,100.0 
 0, 6,  4,  1,  8,  16,  3, 0,100.0 
 0, 4,  2,  6,  12,  4,  4, 0,100.0 
 1, 6,  4,  3,  32,  4,  1, 1,100.0 
 1, 4,  9,  1,  16,  2,  8, 0,100.0 
 1, 2,  24,  2,  6,  1,  16, 0,100.0 
 0, 8,  2,  3,  16,  6,  2, 1,100.0 
 1, 8,  9,  1,  32,  4,  1, 1,100.0 
 0, 1,  2,  8,  9,  32,  2, 0,100.0 
 0, 1,  3,  4,  8,  24,  4, 0,100.0 
 0, 1,  16,  1,  1,  18,  32, 0,100.0 
 1, 12,  2,  2,  12,  8,  2, 1,100.0 
 0, 16,  1,  6,  1,  96,  1, 0,100.0 
 0, 12,  2,  6,  4,  4,  4, 0,100.0 
 0, 2,  8,  3,  12,  1,  16, 0,100.0 
 1, 1,  6,  8,  2,  12,  8, 1,100.0 
 1, 2,  2,  4,  4,  6,  24, 0,100.0 
 0, 2,  9,  2,  128,  1,  2, 0,100.0 
 1, 3,  2,  24,  2,  32,  1, 1,100.0 
 0, 12,  1,  8,  6,  2,  8, 1,100.0 
 0, 1,  1,  72,  1,  16,  8, 0,100.0 
 0, 4,  3,  12,  2,  2,  16, 0,100.0 
 1, 8,  2,  2,  6,  6,  8, 1,100.0 
 0, 4,  1,  24,  1,  6,  16, 0,100.0 
 1, 1,  9,  4,  16,  4,  4, 1,100.0 
 0, 3,  4,  8,  1,  4,  24, 0,100.0 
 0, 1,  1,  16,  32,  6,  3, 0,100.0 
 0, 3,  24,  4,  2,  8,  2, 0,100.0 
 1, 1,  8,  4,  1,  16,  18, 1,100.0 
 0, 2,  1,  8,  4,  12,  12, 0,100.0 
 0, 2,  4,  4,  288,  1,  1, 0,100.0 
 0, 1,  96,  1,  3,  1,  32, 0,100.0 
 1, 1,  48,  1,  6,  8,  4, 1,100.0 
 0, 1,  4,  8,  36,  4,  2, 0,100.0 
 0, 2,  4,  2,  6,  12,  8, 0,100.0 
 1, 2,  4,  6,  2,  8,  12, 1,100.0 
 0, 48,  1,  2,  2,  2,  24, 0,100.0 
 1, 8,  3,  1,  16,  24,  1, 1,100.0 
 0, 1,  8,  4,  24,  2,  6, 1,100.0 
 1, 1,  6,  2,  24,  16,  2, 0,100.0 
 1, 1,  4,  18,  4,  8,  4, 0,100.0 
 1, 8,  3,  6,  8,  1,  8, 1,100.0 
 0, 2,  16,  1,  36,  4,  2, 0,100.0 
 0, 2,  4,  6,  24,  1,  8, 0,100.0 
 0, 6,  4,  1,  32,  4,  3, 0,100.0 
 1, 4,  3,  3,  2,  4,  32, 1,100.0 
 0, 16,  2,  1,  3,  12,  8, 0,100.0 
 0, 2,  6,  2,  12,  16,  2, 0,100.0 
 1, 3,  1,  16,  16,  3,  4, 1,100.0 
 1, 32,  3,  1,  2,  24,  2, 0,100.0 
 1, 2,  24,  2,  2,  12,  4, 0,100.0 
 0, 18,  1,  16,  8,  4,  1, 0,100.0 
 1, 8,  6,  3,  64,  1,  1, 1,100.0 
 0, 48,  3,  1,  64,  1,  1, 0,100.0 
 0, 4,  2,  2,  192,  1,  3, 0,100.0 
 0, 2,  16,  3,  3,  2,  16, 0,100.0 
 1, 8,  4,  3,  2,  16,  3, 1,100.0 
 0, 1,  12,  1,  64,  2,  6, 0,100.0 
 1, 9,  1,  2,  2,  128,  2, 1,100.0 
 1, 6,  3,  1,  8,  8,  8, 1,100.0 
 1, 1,  16,  2,  4,  18,  4, 0,100.0 
 0, 1,  2,  16,  1,  32,  9, 0,100.0 
 1, 2,  6,  2,  64,  6,  1, 1,100.0 
 0, 4,  4,  3,  8,  1,  24, 0,100.0 
 0, 4,  4,  2,  24,  6,  2, 0,100.0 
 0, 3,  24,  2,  2,  32,  1, 0,100.0 
 1, 2,  2,  3,  4,  12,  16, 1,100.0 
 0, 1,  2,  8,  12,  2,  24, 0,100.0 
 1, 1,  72,  2,  1,  1,  64, 1,100.0 
 1, 16,  1,  1,  12,  12,  4, 1,100.0 
 1, 1,  1,  36,  8,  2,  16, 0,100.0 
 1, 2,  16,  1,  1,  24,  12, 1,100.0 
 0, 1,  96,  3,  32,  1,  1, 0,100.0 
 1, 12,  2,  6,  16,  2,  2, 1,100.0 
 0, 2,  2,  3,  1,  64,  12, 0,100.0 
 0, 6,  4,  3,  2,  8,  8, 0,100.0 
 0, 18,  2,  1,  2,  16,  8, 0,100.0 
 1, 1,  2,  6,  1,  768,  1, 1,100.0 
 0, 288,  1,  1,  2,  1,  16, 1,100.0 
 0, 1,  3,  6,  4,  8,  16, 1,100.0 
 1, 2,  1,  24,  192,  1,  1, 1,100.0 
 0, 9,  1,  8,  8,  2,  8, 0,100.0 
 1, 4,  4,  2,  72,  4,  1, 1,100.0 
 0, 1,  32,  3,  8,  6,  2, 1,100.0 
 0, 1,  9,  4,  4,  2,  32, 0,100.0 
 1, 3,  2,  6,  8,  8,  4, 1,100.0 
 0, 2,  24,  1,  3,  2,  32, 0,100.0 
 0, 1,  1,  96,  1,  32,  3, 0,100.0 
 0, 12,  4,  1,  6,  8,  4, 0,100.0 
 1, 16,  1,  3,  1,  12,  16, 1,100.0 
 1, 4,  6,  4,  4,  3,  8, 0,100.0 
 0, 4,  36,  1,  16,  1,  4, 0,100.0 
 1, 1,  24,  4,  1,  96,  1, 1,100.0 
 0, 1,  12,  1,  12,  32,  2, 0,100.0 
 1, 3,  24,  1,  1,  16,  8, 1,100.0 
 0, 1,  72,  2,  1,  8,  8, 0,100.0 
 0, 1,  6,  12,  8,  8,  2, 0,100.0 
 1, 1,  8,  4,  288,  1,  1, 1,100.0 
 1, 4,  24,  1,  12,  4,  2, 0,100.0 
 1, 48,  2,  1,  2,  3,  16, 0,100.0 
 1, 1,  18,  1,  8,  32,  2, 1,100.0 
 1, 16,  1,  2,  2,  36,  4, 1,100.0 
 0, 2,  12,  4,  3,  2,  16, 0,100.0 
 1, 6,  1,  2,  6,  64,  2, 1,100.0 
 0, 2,  6,  8,  4,  2,  12, 0,100.0 
 1, 4,  3,  4,  8,  6,  4, 0,100.0 
 1, 1,  2,  24,  4,  4,  12, 1,100.0 
 0, 1,  3,  3,  1,  128,  8, 0,100.0 
 1, 2,  2,  6,  3,  8,  16, 0,100.0 
 1, 1,  3,  48,  4,  4,  4, 1,100.0 
 0, 2,  2,  8,  8,  6,  6, 0,100.0 
 0, 1,  12,  2,  3,  16,  8, 0,100.0 
 1, 1,  6,  2,  8,  4,  24, 1,100.0 
 0, 3,  6,  1,  1,  128,  4, 0,100.0 
 0, 1,  18,  8,  1,  4,  16, 0,100.0 
 0, 32,  3,  1,  6,  8,  2, 0,100.0 
 1, 8,  1,  4,  144,  2,  1, 1,100.0 
 0, 1,  4,  36,  4,  1,  16, 1,100.0 
 1, 1,  96,  3,  4,  8,  1, 1,100.0 
 1, 1,  4,  4,  2,  24,  12, 1,100.0 
 1, 3,  1,  12,  1,  128,  2, 1,100.0 
 0, 6,  2,  2,  2,  32,  6, 1,100.0 
 0, 1,  18,  1,  2,  64,  4, 0,100.0 
 0, 9,  1,  16,  8,  8,  1, 0,100.0 
 1, 8,  1,  2,  8,  18,  4, 1,100.0 
 0, 6,  6,  4,  16,  2,  2, 0,100.0 
 0, 1,  1,  12,  4,  192,  1, 0,100.0 
 0, 2,  2,  18,  8,  16,  1, 0,100.0 
 1, 3,  2,  6,  2,  8,  16, 1,100.0 
 0, 2,  12,  4,  2,  8,  6, 1,100.0 
 0, 16,  3,  2,  1,  6,  16, 1,100.0 
 0, 1,  1,  16,  6,  8,  12, 0,100.0 
 1, 12,  3,  1,  16,  4,  4, 1,100.0 
 0, 1,  1,  96,  2,  3,  16, 0,100.0 
 1, 8,  3,  3,  4,  4,  8, 1,100.0 
 0, 6,  1,  48,  4,  4,  2, 0,100.0 
 0, 2,  1,  24,  24,  8,  1, 0,100.0 
 0, 6,  1,  2,  8,  16,  6, 0,100.0 
 1, 4,  2,  12,  2,  48,  1, 1,100.0 
 0, 1,  6,  8,  2,  32,  3, 0,100.0 
 0, 1,  2,  18,  128,  2,  1, 0,100.0 
 1, 1,  8,  3,  192,  2,  1, 0,100.0 
 1, 4,  3,  1,  768,  1,  1, 1,100.0 
 0, 2,  1,  24,  3,  2,  32, 0,100.0 
 0, 4,  12,  1,  24,  4,  2, 0,100.0 
 0, 2,  12,  1,  6,  4,  16, 0,100.0 
 1, 6,  6,  1,  4,  4,  16, 1,100.0 
 1, 1,  4,  6,  32,  1,  12, 0,100.0 
 1, 72,  2,  2,  2,  8,  2, 1,100.0 
 1, 8,  4,  1,  3,  48,  2, 1,100.0 
 0, 1,  6,  12,  4,  8,  4, 0,100.0 
 0, 48,  1,  1,  4,  6,  8, 0,100.0 
 0, 1,  4,  8,  1,  24,  12, 0,100.0 
 1, 3,  3,  1,  16,  1,  64, 1,100.0 
 0, 8,  2,  1,  64,  3,  3, 1,100.0 
 1, 1,  2,  8,  9,  1,  64, 1,100.0 
 0, 4,  8,  3,  1,  24,  4, 1,100.0 
 1, 4,  1,  9,  2,  2,  64, 0,100.0 
 0, 2,  6,  3,  128,  1,  2, 0,100.0 
 1, 2,  9,  1,  4,  64,  2, 1,100.0 
 0, 8,  2,  2,  24,  12,  1, 0,100.0 
 0, 16,  2,  1,  8,  3,  12, 0,100.0 
 0, 16,  18,  1,  4,  1,  8, 0,100.0 
 1, 16,  3,  3,  1,  16,  4, 1,100.0 
 1, 1,  2,  48,  48,  1,  2, 0,100.0 
 1, 2,  1,  48,  1,  48,  2, 1,100.0 
 0, 1,  288,  1,  1,  8,  4, 0,100.0 
 1, 3,  8,  4,  2,  8,  6, 1,100.0 
 0, 1,  6,  2,  12,  64,  1, 1,100.0 
 1, 2,  4,  6,  3,  1,  64, 1,100.0 
 0, 2,  1,  8,  6,  32,  3, 0,100.0 
 0, 12,  1,  4,  1,  192,  1, 0,100.0 
 0, 8,  2,  1,  72,  1,  8, 0,100.0 
 0, 9,  1,  2,  512,  1,  1, 0,100.0 
 1, 1,  4,  4,  12,  3,  16, 1,100.0 
 1, 3,  4,  2,  24,  2,  8, 1,100.0 
 0, 24,  3,  2,  2,  2,  16, 0,100.0 
 1, 2,  12,  4,  2,  3,  16, 0,100.0 
 1, 12,  8,  3,  1,  32,  1, 1,100.0 
 0, 1,  1,  9,  2,  16,  32, 0,100.0 
 0, 3,  8,  1,  192,  2,  1, 0,100.0 
 0, 2,  2,  4,  24,  8,  3, 0,100.0 
 1, 3,  1,  4,  24,  32,  1, 1,100.0 
 0, 6,  2,  12,  32,  1,  2, 0,100.0 
 1, 9,  2,  2,  32,  4,  2, 1,100.0 
 0, 4,  1,  4,  3,  48,  4, 0,100.0 
 0, 8,  9,  2,  1,  4,  16, 0,100.0 
 0, 1,  9,  2,  32,  1,  16, 1,100.0 
 1, 3,  16,  3,  4,  16,  1, 1,100.0 
 0, 48,  2,  3,  4,  1,  8, 0,100.0 
 0, 2,  8,  1,  2,  16,  18, 0,100.0 
 1, 2,  1,  144,  4,  1,  8, 1,100.0 
 0, 2,  3,  16,  2,  16,  3, 0,100.0 
 1, 1,  32,  1,  2,  24,  6, 1,100.0 
 0, 4,  9,  1,  32,  1,  8, 1,100.0 
 1, 1,  1,  24,  2,  3,  64, 0,100.0 
 1, 2,  2,  6,  6,  16,  4, 1,100.0 
 1, 3,  2,  4,  16,  1,  24, 1,100.0 
 0, 2,  1,  16,  2,  4,  36, 0,100.0 
 0, 12,  1,  1,  4,  64,  3, 0,100.0 
 1, 16,  1,  1,  8,  4,  18, 1,100.0 
 0, 4,  8,  1,  6,  4,  12, 0,100.0 
 1, 1,  72,  1,  4,  16,  2, 1,100.0 
 0, 1,  2,  6,  96,  2,  4, 0,100.0 
 0, 6,  2,  4,  12,  16,  1, 1,100.0 
 0, 2,  3,  16,  16,  3,  2, 0,100.0 
 1, 4,  2,  6,  8,  24,  1, 1,100.0 
 0, 2,  1,  9,  1,  64,  8, 0,100.0 
 0, 4,  8,  1,  4,  3,  24, 0,100.0 
 0, 3,  4,  3,  2,  2,  64, 0,100.0 
 0, 3,  48,  2,  32,  1,  1, 1,100.0 
 1, 6,  2,  8,  12,  1,  8, 1,100.0 
 0, 9,  1,  4,  16,  1,  16, 0,100.0 
 1, 6,  8,  2,  12,  2,  4, 1,100.0 
 1, 1,  1,  72,  4,  32,  1, 1,100.0 
 1, 1,  2,  16,  6,  3,  16, 1,100.0 
 0, 2,  2,  72,  8,  1,  4, 0,100.0 
 0, 1,  2,  16,  9,  16,  2, 0,100.0 
 0, 2,  1,  18,  1,  16,  16, 0,100.0 
 1, 48,  2,  1,  2,  4,  12, 1,100.0 
 0, 4,  3,  2,  24,  2,  8, 0,100.0 
 1, 3,  24,  2,  8,  8,  1, 1,100.0 
 1, 3,  1,  96,  4,  2,  4, 0,100.0 
 1, 3,  4,  1,  48,  2,  8, 1,100.0 
 1, 3,  24,  1,  1,  64,  2, 1,100.0 
 1, 2,  72,  1,  4,  2,  8, 0,100.0 
 0, 24,  1,  6,  64,  1,  1, 0,100.0 
 0, 2,  1,  16,  6,  8,  6, 0,100.0 
 1, 1,  24,  1,  32,  3,  4, 1,100.0 
 0, 12,  2,  1,  32,  3,  4, 0,100.0 
 0, 1,  4,  4,  6,  16,  6, 0,100.0 
 0, 16,  1,  3,  32,  2,  3, 0,100.0 
 1, 1,  3,  16,  1,  12,  16, 1,100.0 
 0, 1,  3,  32,  3,  4,  8, 1,100.0 
 1, 2,  3,  2,  8,  48,  2, 1,100.0 
 1, 3,  48,  2,  16,  1,  2, 0,100.0 
 1, 2,  6,  8,  1,  12,  8, 1,100.0 
 0, 18,  4,  2,  4,  2,  8, 0,100.0 
 0, 16,  1,  1,  16,  12,  3, 0,100.0 
 0, 4,  3,  3,  4,  4,  16, 0,100.0 
 1, 12,  8,  1,  4,  24,  1, 1,100.0 
 0, 9,  1,  8,  1,  2,  64, 0,100.0 
 1, 4,  1,  72,  4,  8,  1, 1,100.0 
 1, 8,  6,  1,  3,  32,  2, 0,100.0 
 1, 1,  16,  9,  1,  64,  1, 0,100.0 
 0, 1,  16,  1,  12,  1,  48, 0,100.0 
 1, 4,  3,  1,  1,  128,  6, 1,100.0 
 0, 4,  2,  18,  1,  1,  64, 0,100.0 
 0, 6,  2,  2,  8,  12,  4, 0,100.0 
 0, 2,  8,  2,  8,  1,  36, 0,100.0 
 1, 4,  1,  8,  8,  9,  4, 1,100.0 
 0, 48,  1,  3,  2,  8,  4, 0,100.0 
 1, 3,  1,  16,  1,  16,  12, 1,100.0 
 1, 6,  8,  1,  2,  2,  48, 1,100.0 
 1, 1,  2,  16,  1,  144,  2, 1,100.0 
 0, 1,  2,  18,  32,  1,  8, 1,100.0 
 1, 12,  2,  1,  2,  24,  8, 1,100.0 
 0, 32,  1,  9,  1,  32,  1, 0,100.0 
 0, 1,  2,  6,  128,  2,  3, 0,100.0 
 1, 9,  8,  4,  16,  2,  1, 0,100.0 
 0, 4,  8,  1,  18,  4,  4, 0,100.0 
 1, 24,  1,  4,  1,  6,  16, 1,100.0 
 0, 2,  16,  3,  2,  8,  6, 0,100.0 
 0, 1,  4,  4,  6,  32,  3, 0,100.0 
 1, 2,  6,  6,  1,  16,  8, 1,100.0 
 0, 1,  3,  6,  4,  8,  16, 0,100.0 
 0, 8,  2,  2,  1,  36,  8, 0,100.0 
 1, 18,  1,  4,  128,  1,  1, 1,100.0 
 1, 1,  24,  1,  3,  64,  2, 1,100.0 
 0, 2,  12,  2,  3,  1,  64, 0,100.0 
 0, 2,  1,  9,  128,  2,  2, 0,100.0 
 1, 8,  2,  2,  6,  2,  24, 1,100.0 
 0, 3,  3,  1,  32,  16,  2, 0,100.0 
 1, 16,  1,  2,  18,  4,  4, 1,100.0 
 0, 12,  3,  2,  16,  8,  1, 1,100.0 
 0, 1,  2,  36,  1,  8,  16, 0,100.0 
 0, 1,  4,  18,  2,  4,  16, 1,100.0 
