Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp
0,8,2,64,2,8,4,0,104.0
1,64,32,1,1,2,16,0,18214.0
1,16,2,4,2,8,32,0,18219.0
1,8,2,32,2,16,4,0,18219.0
1,8,8,1,2,128,4,0,18219.0
0,16,16,1,2,32,4,0,104.0
0,8,16,1,4,16,8,0,104.0
1,4,2,64,64,2,1,0,18215.0
1,8,8,4,4,2,32,0,18219.0
0,1,4,32,64,1,8,0,96.0
0,32,1,4,512,1,1,0,92.0
0,64,4,4,8,8,1,0,100.0
1,4,16,32,2,8,2,0,18219.0
0,4,4,16,128,1,2,0,100.0
1,32,4,2,1,8,32,0,18215.0
1,2,1024,1,1,32,1,0,18207.0
0,2,16,16,1,2,64,0,100.0
0,8,4,4,1,64,8,0,100.0
1,4,16,16,4,1,16,0,18215.0
0,64,1,8,32,1,4,0,96.0
0,256,1,1,32,4,2,0,96.0
0,1,256,4,32,2,1,0,96.0
1,16,1,32,1,8,16,0,18211.0
1,8,2,128,2,16,1,0,18215.0
1,64,4,2,8,8,2,0,18219.0
1,16,2,8,8,32,1,0,18215.0
0,8,8,2,1,64,8,0,100.0
0,16,2,2,64,16,1,0,100.0
1,2,16,8,16,16,1,0,18215.0
0,1,256,2,1,4,32,0,96.0
1,1,64,4,16,16,1,0,18211.0
0,32,1,4,1,8,64,0,96.0
1,1,64,16,32,1,2,0,18211.0
0,1,4,128,64,1,2,0,96.0
1,8,1,32,1,64,4,0,18211.0
0,1,128,4,2,32,2,0,104.0
0,1,4,128,1,2,64,0,96.0
1,1,256,1,1,32,8,0,18207.0
1,256,8,1,4,1,8,0,18211.0
1,1,8,32,2,64,2,0,18219.0
1,1,32,4,4,32,4,0,18219.0
0,1,4,16,128,2,4,0,104.0
0,2,8,4,1,32,32,0,100.0
1,1,64,4,32,2,4,0,18219.0
1,4,64,2,4,16,2,0,18219.0
0,32,4,1,16,8,4,0,104.0
0,1,4,32,128,1,4,0,96.0
0,2,64,8,1,2,32,0,100.0
1,2,2,64,4,32,2,0,18219.0
1,128,4,1,1,32,4,0,18214.0
1,16,1,4,4,8,32,0,18219.0
0,1,32,16,64,1,2,0,96.0
0,16,1,32,128,1,1,0,92.0
1,256,1,8,2,1,16,0,18211.0
0,1,16,64,1,8,8,0,96.0
1,16,16,2,1,16,8,0,18215.0
1,256,2,4,8,1,4,0,18215.0
1,64,1,8,2,64,1,0,18211.0
0,1,128,4,2,1,64,0,96.0
1,16,8,16,1,16,2,0,18215.0
1,1,16,4,64,8,2,0,18219.0
1,8,128,2,4,4,2,0,18219.0
1,4,2,8,256,1,4,0,18215.0
1,32,2,1,32,8,4,0,18219.0
0,32,1,8,16,4,4,0,104.0
1,32,2,4,4,64,1,0,18215.0
0,4,32,16,1,32,1,0,96.0
0,4,8,2,8,64,2,0,104.0
1,2,8,128,8,1,4,0,18215.0
0,1,128,2,4,16,4,0,104.0
0,8,4,8,1,32,8,0,100.0
0,256,8,1,1,4,8,0,99.0
1,4,4,16,32,1,8,0,18215.0
1,1,4,128,1,4,32,0,18211.0
1,2,128,4,32,1,2,0,18215.0
1,4,16,2,2,128,2,0,18219.0
0,32,2,1,16,64,1,0,96.0
1,1,2,512,2,1,32,0,18211.0
1,64,2,8,2,2,16,0,18219.0
0,1,8,8,16,4,16,0,104.0
0,8,1,16,8,4,16,0,104.0
1,16,2,2,128,2,4,0,18219.0
1,2,4,16,4,16,8,0,18219.0
1,8,4,16,1,4,32,0,18215.0
0,2,4,256,16,1,2,0,100.0
0,2,128,8,2,8,2,0,104.0
0,1,2,32,1,128,8,0,96.0
0,8,16,2,4,16,4,0,104.0
0,2,512,1,1,1,64,0,92.0
0,8,16,16,4,1,8,0,100.0
0,128,2,2,16,4,2,0,104.0
0,256,1,4,1,1,64,0,92.0
1,256,1,1,4,16,4,0,18211.0
0,1,32,2,512,1,2,0,96.0
0,4,1,16,64,2,8,0,104.0
0,1,256,2,1,16,8,0,96.0
0,1,2,1024,2,8,2,0,104.0
0,2,64,8,16,1,4,0,100.0
0,128,4,2,1,16,4,0,100.0
1,4,8,4,256,1,2,0,18215.0
0,4,8,4,32,8,2,0,104.0
0,4,512,1,8,4,1,0,96.0
0,16,4,1,16,4,16,0,104.0
0,16,16,2,1,4,32,0,100.0
0,2,32,4,4,2,32,0,104.0
0,2,8,32,2,32,2,0,104.0
1,8,64,2,2,8,4,0,18219.0
1,2,1,1024,4,4,2,0,18219.0
0,16,16,2,1,32,4,0,100.0
0,32,2,2,64,2,4,0,104.0
0,32,32,1,2,2,16,0,104.0
0,4,1,16,16,1,64,0,96.0
1,1,2,64,8,1,64,0,18211.0
0,16,2,64,1,8,4,0,100.0
1,1,4,16,2,256,2,0,18219.0
1,128,1,8,4,2,8,0,18219.0
0,1,8,16,8,2,32,0,104.0
0,1,2,64,128,1,4,0,96.0
1,16,1,4,32,32,1,0,18211.0
0,128,2,1,16,4,4,0,104.0
0,8,1,64,64,1,2,0,96.0
0,4,16,16,1,8,8,0,100.0
1,256,2,1,64,2,1,0,18211.0
0,32,2,1,1,128,8,0,99.0
0,64,1,8,64,2,1,0,96.0
1,32,2,1,16,64,1,0,18211.0
0,2,1,32,2,16,32,0,104.0
0,2,8,8,8,1,64,0,100.0
0,64,4,2,128,1,1,0,96.0
1,64,16,2,1,8,4,0,18215.0
0,512,2,1,4,1,16,0,96.0
0,16,2,16,2,2,32,0,104.0
0,32,8,2,2,2,32,0,104.0
1,2,16,16,32,4,1,0,18215.0
1,16,8,1,64,2,4,0,18219.0
0,1,16,128,1,8,4,0,96.0
0,32,4,1,4,2,64,0,104.0
1,1,4,32,4,8,16,0,18219.0
0,1,1024,2,8,4,1,0,96.0
0,2,4,32,4,64,1,0,100.0
0,8,32,1,1,256,1,0,92.0
0,1,4,256,4,8,2,0,104.0
0,8,2,128,1,8,4,0,100.0
0,128,1,8,2,4,8,0,104.0
0,4,32,2,8,32,1,0,100.0
0,1,64,8,1,32,4,0,96.0
0,2,64,1,1,64,8,0,99.0
0,512,2,2,1,16,2,0,100.0
0,256,2,2,4,2,8,0,104.0
0,2,2,16,8,4,32,0,104.0
0,1,32,16,4,1,32,0,96.0
1,2,64,4,8,1,16,0,18215.0
0,4,16,8,4,1,32,0,100.0
0,16,32,1,128,1,1,0,92.0
0,2,32,1,8,32,4,0,104.0
0,64,4,1,2,8,16,0,104.0
0,4,32,2,1,32,8,0,100.0
0,1,2048,1,2,16,1,0,92.0
0,64,1,32,8,1,4,0,96.0
0,16,1,8,32,8,2,0,104.0
0,8,4,8,2,8,16,0,104.0
0,32,1,16,16,8,1,0,96.0
0,1,128,1,4,8,16,0,96.0
0,1,2,512,8,2,4,0,104.0
1,8,4,32,16,4,1,0,18215.0
0,16,1,16,128,1,2,0,96.0
0,32,2,2,32,8,2,0,104.0
1,16,32,2,32,2,1,0,18215.0
0,1,32,2,1,16,64,0,96.0
0,4,16,4,2,16,8,0,104.0
0,16,8,1,2,4,64,0,104.0
0,64,4,4,32,1,2,0,100.0
0,1,8,256,1,4,8,0,96.0
0,2,16,4,512,1,1,0,96.0
1,16,2,16,1,16,8,0,18215.0
0,2,16,2,128,2,4,0,104.0
0,16,2,4,16,4,8,0,104.0
0,1,64,2,2,4,64,0,104.0
0,512,1,1,2,16,4,0,96.0
0,8,4,64,32,1,1,0,96.0
0,16,16,4,2,4,8,0,104.0
0,1,8,128,1,1,64,0,92.0
0,128,1,1,128,2,2,0,96.0
0,16,8,4,16,2,4,0,104.0
1,4,8,2,16,2,32,0,18219.0
0,4,1,256,2,2,16,0,104.0
0,16,8,2,4,2,32,0,104.0
1,4,2,256,32,1,1,0,18211.0
0,16,8,1,1,8,64,0,99.0
1,512,1,2,1,64,1,0,18207.0
0,4,1,32,128,4,1,0,96.0
0,1,128,8,1,4,16,0,96.0
0,64,2,1,2,32,8,0,104.0
0,1,1,64,128,4,2,0,96.0
0,2,32,2,64,8,1,0,100.0
0,4,1,32,1,16,32,0,96.0
1,8,1,16,1,256,2,0,18211.0
0,32,2,1,16,32,2,0,104.0
0,512,2,1,2,4,8,0,104.0
0,4,2,32,32,4,2,0,104.0
0,1,256,2,2,1,64,0,96.0
1,64,8,4,4,2,4,0,18219.0
0,512,1,2,1,16,4,0,96.0
1,8,64,1,32,4,1,0,18211.0
0,1,2,64,2,256,1,0,96.0
0,4,4,64,4,4,4,0,104.0
0,4,2,8,4,4,64,0,104.0
0,1,8,8,32,4,8,0,104.0
0,4,1,16,4,4,64,0,104.0
1,2,16,16,8,2,8,0,18219.0
0,32,4,16,2,16,1,0,100.0
1,512,4,1,1,8,4,0,18214.0
1,2,2,256,32,2,1,0,18215.0
1,1,4,32,2,256,1,0,18211.0
0,1,256,2,4,2,16,0,104.0
1,16,16,1,8,32,1,0,18211.0
1,8,4,16,4,32,1,0,18215.0
1,32,32,1,1,16,4,0,18214.0
0,1,1,128,64,8,1,0,92.0
0,512,2,1,1,32,2,0,99.0
0,8,256,1,8,4,1,0,96.0
0,4,1,512,1,32,1,0,92.0
0,2,4,256,4,1,8,0,100.0
0,1,64,16,2,4,8,0,104.0
1,4,8,2,16,8,8,0,18219.0
0,4,2,256,1,16,2,0,100.0
0,128,4,1,2,8,8,0,104.0
0,4,32,2,32,2,4,0,104.0
1,4,1,16,256,2,2,0,18219.0
0,128,2,1,8,1,32,0,96.0
1,8,4,16,32,1,4,0,18215.0
0,4,4,8,16,8,4,0,104.0
1,4,8,64,16,2,1,0,18215.0
0,64,8,4,4,8,1,0,100.0
1,2,1,32,4,128,2,0,18219.0
0,2,2,32,4,16,8,0,104.0
0,16,4,4,4,2,32,0,104.0
1,256,1,1,8,16,2,0,18211.0
1,128,4,1,32,4,1,0,18211.0
0,4,8,4,16,2,16,0,104.0
0,16,8,2,256,1,1,0,96.0
0,128,2,4,4,16,1,0,100.0
1,8,2,64,4,2,8,0,18219.0
0,512,4,1,4,4,2,0,104.0
0,8,8,1,512,1,2,0,96.0
0,2,2,256,4,8,2,0,104.0
1,8,64,4,1,1,32,0,18211.0
1,16,1,16,4,32,2,0,18219.0
1,8,4,4,8,64,1,0,18215.0
1,32,16,4,32,1,1,0,18211.0
0,256,1,2,1,2,64,0,96.0
0,1,16,128,4,8,1,0,96.0
0,8,1,128,1,16,4,0,96.0
1,4,1,16,1,512,2,0,18211.0
0,8,4,2,256,4,1,0,100.0
1,1,256,2,128,1,1,0,18207.0
1,128,4,2,2,8,4,0,18219.0
1,8,16,1,64,4,2,0,18219.0
0,1,4,64,1,32,8,0,96.0
0,256,1,2,128,1,1,0,92.0
0,2,4,128,8,4,2,0,104.0
1,4,8,8,4,1,64,0,18215.0
1,8,32,1,16,4,4,0,18219.0
1,1,128,2,1,32,8,0,18211.0
1,64,2,1,8,1,64,0,18211.0
0,1,2,32,16,16,4,0,104.0
0,2,1,128,1,16,16,0,96.0
0,8,16,2,4,2,32,0,104.0
1,2,2,64,1,16,16,0,18215.0
0,2,8,8,8,2,32,0,104.0
1,512,1,1,8,2,8,0,18211.0
0,8,4,32,4,16,1,0,100.0
1,1,32,4,2,32,8,0,18219.0
0,4,4,32,16,1,8,0,100.0
1,1,2,32,32,2,16,0,18219.0
0,1,64,2,2,64,4,0,104.0
0,2,128,8,4,2,4,0,104.0
0,64,1,1,1,32,32,0,92.0
1,16,16,2,128,1,1,0,18211.0
0,1,4,128,64,2,1,0,96.0
0,1,1024,1,2,4,8,0,96.0
0,4,4,4,8,8,16,0,104.0
1,4,8,8,8,4,8,0,18219.0
0,8,8,2,2,64,4,0,104.0
0,1,4,128,8,2,8,0,104.0
0,4,32,1,1,256,2,0,99.0
0,2,128,1,2,16,8,0,104.0
1,2,2,16,128,4,2,0,18219.0
1,8,16,4,2,8,8,0,18219.0
1,2,16,16,4,8,4,0,18219.0
1,1024,1,1,64,1,1,0,18203.0
0,32,1,4,256,1,2,0,96.0
1,16,16,2,1,128,1,0,18211.0
0,2,64,2,32,4,2,0,104.0
0,1,128,2,64,1,4,0,96.0
1,2,16,2,1,1024,1,0,18211.0
0,8,2,16,32,1,8,0,100.0
0,1,1,256,128,2,1,0,92.0
1,1,2,512,16,4,1,0,18211.0
1,4,2,8,1024,1,1,0,18211.0
0,1,2,32,2,16,32,0,104.0
0,8,4,8,64,2,2,0,104.0
1,2,2,16,32,8,4,0,18219.0
0,1,32,8,8,2,16,0,104.0
0,64,1,8,1,8,16,0,96.0
0,1,2,1024,8,1,4,0,96.0
1,4,512,1,2,4,4,0,18219.0
1,1,32,2,2,16,32,0,18219.0
1,4,256,1,2,4,8,0,18219.0
1,4,128,2,2,16,2,0,18219.0
0,8,64,2,1,8,8,0,100.0
0,1,16,8,64,2,4,0,104.0
0,2,8,16,128,2,1,0,100.0
1,16,8,8,4,8,2,0,18219.0
0,4,1,32,4,2,64,0,104.0
0,4,1,32,16,2,16,0,104.0
0,16,16,1,16,1,16,0,96.0
1,1,32,16,2,4,16,0,18219.0
0,4,8,16,1,32,4,0,100.0
0,2,8,32,8,8,2,0,104.0
1,1,32,4,2,64,4,0,18219.0
0,1,2,128,256,1,1,0,92.0
0,2,16,2,4,128,2,0,104.0
1,1,64,32,1,1,32,0,18207.0
0,16,8,4,4,1,32,0,100.0
1,4,32,16,1,32,1,0,18211.0
0,4,8,4,64,4,2,0,104.0
0,32,2,2,1,128,4,0,100.0
1,16,64,2,32,1,1,0,18211.0
0,16,2,4,128,2,2,0,104.0
0,2,1,64,256,1,2,0,96.0
0,8,2,16,1,16,16,0,100.0
1,2,32,4,4,1,64,0,18215.0
0,1,128,2,8,1,32,0,96.0
1,8,4,16,128,1,1,0,18211.0
0,4,32,1,2,16,16,0,104.0
0,2,4,128,16,2,2,0,104.0
0,8,128,1,2,2,16,0,104.0
1,1,2,128,32,1,8,0,18211.0
0,4,2,64,2,16,4,0,104.0
0,1,256,1,8,1,32,0,92.0
0,1,256,8,4,1,8,0,96.0
1,4,32,1,256,1,2,0,18211.0
0,2,2,128,1,32,4,0,100.0
0,64,2,2,8,8,4,0,104.0
0,32,2,4,1,128,2,0,100.0
1,2,8,4,4,256,1,0,18215.0
0,8,8,1,32,1,32,0,96.0
0,2,1,32,2,64,8,0,104.0
0,32,1,64,2,4,4,0,104.0
1,32,16,2,4,16,1,0,18215.0
0,2,4,16,4,64,2,0,104.0
0,128,4,1,1,16,8,0,99.0
0,32,1,64,8,1,4,0,96.0
0,16,32,1,1,128,1,0,92.0
1,64,2,16,8,1,4,0,18215.0
1,64,8,2,1,4,16,0,18215.0
1,4,8,2,128,4,2,0,18219.0
0,64,4,1,16,2,8,0,104.0
0,4,8,4,256,1,2,0,100.0
0,16,4,32,4,1,8,0,100.0
0,16,2,32,1,8,8,0,100.0
0,2,32,8,32,1,4,0,100.0
1,2,4,8,1,512,2,0,18215.0
1,2,4,32,64,1,4,0,18215.0
0,1,1,128,4,32,4,0,96.0
1,8,1,8,4,4,64,0,18219.0
0,128,8,1,1,1,64,0,92.0
0,4,32,4,2,16,4,0,104.0
0,64,4,1,8,32,1,0,96.0
1,1,512,4,1,32,1,0,18207.0
0,128,1,8,16,1,4,0,96.0
0,8,4,32,1,64,1,0,96.0
0,2,128,2,16,8,1,0,100.0
1,2,1,64,32,1,16,0,18211.0
0,1,32,8,16,4,4,0,104.0
1,64,4,4,2,32,1,0,18215.0
1,1,128,16,1,2,16,0,18211.0
0,32,1,8,64,2,2,0,104.0
1,128,1,2,128,1,2,0,18211.0
0,4,8,2,4,8,32,0,104.0
1,64,1,16,4,4,4,0,18219.0
0,1,64,2,256,2,1,0,96.0
1,4,16,4,4,32,2,0,18219.0
0,16,4,8,16,1,8,0,100.0
1,1,32,2,2,64,8,0,18219.0
1,2,16,16,4,16,2,0,18219.0
1,32,8,2,8,16,1,0,18215.0
0,4,8,4,32,1,16,0,100.0
1,1,1,1024,8,2,4,0,18211.0
1,4,4,128,1,4,8,0,18215.0
0,2,2,128,8,4,4,0,104.0
1,4,16,2,1,16,32,0,18215.0
0,2,4,8,1,1024,1,0,96.0
0,8,8,2,64,8,1,0,100.0
1,8,8,1,2,512,1,0,18211.0
1,1,1,512,1,16,8,0,18207.0
0,2,4,8,8,8,16,0,104.0
0,2,1,64,2,64,4,0,104.0
0,8,32,2,2,4,16,0,104.0
1,32,2,1,32,4,8,0,18219.0
1,2,32,16,8,4,2,0,18219.0
1,1,2,32,2,512,1,0,18211.0
1,32,2,16,1,4,16,0,18215.0
1,4,64,2,32,1,4,0,18215.0
0,256,1,1,4,8,8,0,96.0
0,2,128,1,16,16,1,0,96.0
0,32,4,4,8,16,1,0,100.0
0,1,4,64,32,2,4,0,104.0
1,2,1,64,2,256,1,0,18211.0
1,4,16,1,16,16,4,0,18219.0
1,16,4,4,1,128,2,0,18215.0
0,1,32,32,4,2,8,0,104.0
0,16,1,4,32,32,1,0,96.0
1,256,1,8,1,16,2,0,18211.0
0,1,16,32,4,32,1,0,96.0
0,32,1,2,8,16,8,0,104.0
0,256,2,4,2,16,1,0,100.0
1,4,4,4,4,128,2,0,18219.0
1,8,4,2,1024,1,1,0,18211.0
1,2,8,32,16,8,1,0,18215.0
1,32,32,2,16,2,1,0,18215.0
0,2,16,2,32,16,2,0,104.0
0,1,16,4,8,64,2,0,104.0
0,4,1,16,64,8,2,0,104.0
0,2,32,16,4,4,4,0,104.0
1,8,1,64,16,4,2,0,18219.0
0,4,16,4,32,8,1,0,100.0
0,8,32,1,2,4,32,0,104.0
1,1,1,1024,2,16,2,0,18211.0
0,8,1,64,1,64,2,0,96.0
1,8,2,4,32,8,4,0,18219.0
0,128,1,16,1,4,8,0,96.0
1,16,2,2,4,8,32,0,18219.0
0,2,8,64,1,32,2,0,100.0
0,4,8,2,2,64,8,0,104.0
1,4,32,1,16,16,2,0,18219.0
1,1,8,64,2,64,1,0,18211.0
0,4,16,4,2,2,64,0,104.0
0,128,4,4,2,2,8,0,104.0
0,16,16,2,32,1,4,0,100.0
1,1,256,1,2,16,8,0,18211.0
0,2,128,8,32,1,1,0,96.0
1,1,16,32,32,1,4,0,18211.0
0,64,1,4,32,4,2,0,104.0
0,2,1,32,1,128,8,0,96.0
0,8,8,4,32,4,2,0,104.0
1,4,32,4,1,64,2,0,18215.0
1,1,1,256,128,2,1,0,18207.0
0,1,16,4,256,4,1,0,96.0
1,4,2,32,256,1,1,0,18211.0
0,8,1,32,8,1,32,0,96.0
0,16,4,1,128,2,4,0,104.0
1,1,16,4,1024,1,1,0,18207.0
0,2,8,8,2,4,64,0,104.0
0,64,16,2,16,2,1,0,100.0
0,16,16,8,4,4,2,0,104.0
1,2,1024,1,4,2,4,0,18219.0
0,4,128,1,4,16,2,0,104.0
0,1,256,1,4,16,4,0,96.0
1,4,1,128,1,32,4,0,18211.0
1,1,32,2,2,128,4,0,18219.0
1,1,2,1024,1,16,2,0,18211.0
1,2,64,4,4,16,2,0,18219.0
0,2,8,128,2,1,16,0,100.0
1,32,16,2,1,8,8,0,18215.0
1,8,1,16,16,32,1,0,18211.0
0,8,8,4,4,1,64,0,100.0
0,1,4,512,4,1,8,0,96.0
1,512,1,2,1,32,2,0,18211.0
0,2,2,128,32,1,4,0,100.0
1,4,1,32,512,1,1,0,18207.0
0,1,16,4,256,1,4,0,96.0
1,2,256,1,8,4,4,0,18219.0
1,512,4,1,32,1,1,0,18207.0
1,4,32,16,2,1,16,0,18215.0
0,64,4,1,128,2,1,0,96.0
1,1,16,32,8,4,4,0,18219.0
0,2,1,128,2,4,32,0,104.0
0,32,32,1,4,2,8,0,104.0
1,4,1,16,2,16,32,0,18219.0
1,8,32,2,4,1,32,0,18215.0
1,4,1,64,8,2,16,0,18219.0
1,1,1,512,4,32,1,0,18207.0
0,1,512,1,2,64,1,0,92.0
0,1,64,2,32,1,16,0,96.0
0,4,4,8,2,16,16,0,104.0
1,64,2,2,8,8,4,0,18219.0
0,8,2,8,2,16,16,0,104.0
0,4,8,16,4,16,2,0,104.0
0,32,8,2,1,2,64,0,100.0
1,2,16,8,2,4,32,0,18219.0
0,16,2,64,32,1,1,0,96.0
0,64,1,1,16,8,8,0,96.0
1,4,1,128,4,2,16,0,18219.0
1,4,8,16,32,4,1,0,18215.0
0,2,2,32,8,8,8,0,104.0
0,16,32,4,4,8,1,0,100.0
1,8,128,1,64,1,1,0,18207.0
0,2,512,2,8,4,1,0,100.0
1,16,64,1,8,4,2,0,18219.0
0,2,64,2,1,128,2,0,100.0
0,1,2048,1,2,4,4,0,96.0
0,8,4,2,4,64,4,0,104.0
0,128,8,1,1,64,1,0,92.0
0,8,2,8,128,1,4,0,100.0
0,512,1,1,8,4,4,0,96.0
0,16,16,2,2,64,1,0,100.0
0,2,1,128,16,4,4,0,104.0
0,2,16,16,2,16,4,0,104.0
0,256,4,2,1,1,32,0,96.0
1,32,2,32,2,1,16,0,18215.0
0,4,64,8,8,4,1,0,100.0
0,256,1,2,16,2,4,0,104.0
1,16,8,1,256,2,1,0,18211.0
1,1,32,4,32,16,1,0,18211.0
1,16,2,16,2,1,64,0,18215.0
0,128,16,1,2,1,16,0,96.0
1,1,8,8,32,8,4,0,18219.0
0,16,16,1,4,64,1,0,96.0
0,1,64,1,16,1,64,0,92.0
0,64,2,2,32,8,1,0,100.0
1,4,512,1,32,1,1,0,18207.0
1,32,2,4,1,16,16,0,18215.0
1,256,2,1,4,16,2,0,18219.0
0,1,1,512,16,8,1,0,92.0
0,8,2,128,1,32,1,0,96.0
0,16,32,4,2,8,2,0,104.0
0,4,2,16,16,1,32,0,100.0
0,1,128,1,16,1,32,0,92.0
0,4,64,4,16,1,4,0,100.0
0,8,64,1,1,8,16,0,99.0
0,2,32,2,4,2,64,0,104.0
0,4,8,2,4,32,8,0,104.0
1,2,8,8,2,64,4,0,18219.0
0,1,2,512,16,1,4,0,96.0
0,8,16,1,4,2,64,0,104.0
0,8,8,16,1,1,64,0,96.0
1,16,1,64,4,16,1,0,18211.0
0,1,128,8,1,64,1,0,92.0
0,2,2,32,1,16,32,0,100.0
0,32,1,16,16,2,4,0,104.0
0,8,8,1,1,128,8,0,99.0
1,16,1,8,8,64,1,0,18211.0
0,1,1024,1,8,8,1,0,92.0
0,2,32,16,4,1,16,0,100.0
0,1,8,8,4,64,4,0,104.0
0,8,8,4,4,16,4,0,104.0
0,512,1,2,16,1,4,0,96.0
0,32,1,2,16,8,8,0,104.0
0,1,32,32,8,4,2,0,104.0
0,1,64,1,2,128,4,0,96.0
0,16,4,8,4,32,1,0,100.0
0,1,4,16,1,32,32,0,96.0
0,128,8,1,1,32,2,0,99.0
0,8,1,64,2,16,4,0,104.0
0,1,128,4,4,32,1,0,96.0
0,2,64,2,4,4,16,0,104.0
0,2,4,128,4,2,8,0,104.0
0,2,4,256,1,32,1,0,96.0
0,2,128,2,2,2,32,0,104.0
0,8,4,32,4,2,8,0,104.0
0,2,1,128,16,8,2,0,104.0
0,128,8,1,4,2,8,0,104.0
0,2,8,8,4,64,2,0,104.0
0,4,8,16,32,1,4,0,100.0
0,32,1,4,4,16,8,0,104.0
1,8,128,1,16,4,1,0,18211.0
0,8,8,4,1,32,8,0,100.0
0,2,2,512,8,1,4,0,100.0
0,1024,1,2,2,1,16,0,96.0
0,1,16,4,16,8,8,0,104.0
0,4,2,16,4,2,64,0,104.0
0,8,8,1,2,32,16,0,104.0
1,2,32,32,1,2,16,0,18215.0
0,2,1,256,1,4,32,0,96.0
0,512,1,2,1,4,16,0,96.0
0,32,8,4,4,4,4,0,104.0
1,2,1,256,64,1,2,0,18211.0
0,1,4,16,32,2,16,0,104.0
0,32,4,1,8,1,64,0,96.0
0,2,256,4,4,4,2,0,104.0
0,1,2,128,32,2,4,0,104.0
0,2,2,16,2,32,16,0,104.0
0,32,4,8,4,2,8,0,104.0
0,1,16,4,64,2,8,0,104.0
0,1,4,16,16,8,8,0,104.0
1,1,2,512,1,64,1,0,18207.0
1,1,512,1,1,32,4,0,18207.0
0,1,2,64,1,64,8,0,96.0
0,1,64,2,128,4,1,0,96.0
0,1024,2,1,8,1,4,0,96.0
0,16,64,1,8,4,2,0,104.0
0,1,16,32,32,4,1,0,96.0
0,32,1,8,1,8,32,0,96.0
0,32,16,1,64,2,1,0,96.0
0,1,16,16,2,4,32,0,104.0
0,512,1,2,4,4,4,0,104.0
1,16,128,1,1,4,8,0,18214.0
0,64,1,32,16,1,2,0,96.0
0,64,8,4,16,2,1,0,100.0
0,2,32,1,2,16,32,0,104.0
0,8,16,1,1,16,32,0,99.0
0,32,8,2,8,2,8,0,104.0
0,16,2,4,8,16,4,0,104.0
0,8,1,32,32,1,8,0,96.0
0,2,128,2,4,1,32,0,100.0
1,4,64,4,1,16,4,0,18215.0
0,4,128,2,8,4,2,0,104.0
0,1,32,16,16,2,4,0,104.0
1,1,512,1,2,4,16,0,18211.0
1,8,8,4,2,32,4,0,18219.0
1,128,8,1,1,1,64,0,18207.0
1,8,2,32,8,2,8,0,18219.0
0,2,4,32,1,4,64,0,100.0
0,2,8,16,16,4,4,0,104.0
1,256,1,4,16,1,4,0,18211.0
0,1,1024,1,1,64,1,0,88.0
0,2,128,1,8,32,1,0,96.0
0,2,32,32,2,1,16,0,100.0
0,64,1,1,8,16,8,0,96.0
0,4,8,32,8,8,1,0,100.0
0,16,1,16,1,16,16,0,96.0
1,1,4,512,2,4,4,0,18219.0
0,16,1,16,32,1,8,0,96.0
1,16,8,8,1,2,32,0,18215.0
1,256,2,2,2,16,2,0,18219.0
1,1,256,1,64,2,2,0,18211.0
0,4,4,64,2,32,1,0,100.0
1,1,1,128,8,4,16,0,18211.0
1,4,32,8,32,2,1,0,18215.0
1,16,2,8,8,1,32,0,18215.0
0,1,4,128,2,1,64,0,96.0
1,32,32,2,2,16,1,0,18215.0
1,128,1,2,2,8,16,0,18219.0
0,1,4,32,32,1,16,0,96.0
0,8,128,1,8,2,4,0,104.0
1,2,2,64,2,64,2,0,18219.0
0,16,1,64,8,8,1,0,96.0
0,2,512,2,2,16,1,0,100.0
0,1,2,512,1,1,64,0,92.0
0,4,8,32,4,8,2,0,104.0
1,1,64,32,4,2,4,0,18219.0
1,128,1,8,2,8,4,0,18219.0
1,16,16,2,32,2,2,0,18219.0
1,1,2,32,1,1024,1,0,18207.0
0,1,1,512,2,4,16,0,96.0
0,4,8,16,2,4,16,0,104.0
0,16,4,8,8,8,2,0,104.0
1,128,2,1,4,1,64,0,18211.0
0,16,1,4,32,16,2,0,104.0
0,64,2,16,2,8,2,0,104.0
0,64,1,8,2,64,1,0,96.0
1,32,4,16,16,1,2,0,18215.0
0,2,32,32,32,1,1,0,96.0
0,4,128,1,8,4,4,0,104.0
0,4,128,2,2,16,2,0,104.0
1,1,128,4,8,4,4,0,18219.0
1,256,2,2,16,4,1,0,18215.0
1,2,4,64,2,8,8,0,18219.0
0,2,128,8,2,4,4,0,104.0
1,4,8,16,2,1,64,0,18215.0
0,16,2,16,64,2,1,0,100.0
0,2,512,1,64,1,1,0,92.0
1,1,32,2,1,32,32,0,18211.0
0,4,512,1,2,16,1,0,96.0
0,4,4,4,32,16,2,0,104.0
0,2,1,64,32,8,2,0,104.0
1,16,8,8,8,4,2,0,18219.0
0,128,1,1,4,8,16,0,96.0
0,1,8,64,8,2,8,0,104.0
1,2,16,2,1,32,32,0,18215.0
0,1,2048,1,2,1,16,0,92.0
0,2,4,16,16,32,1,0,100.0
1,64,1,4,8,1,32,0,18211.0
1,1,64,2,32,8,2,0,18219.0
1,1,32,16,4,8,4,0,18219.0
0,32,4,4,8,1,16,0,100.0
0,4,8,32,1,16,4,0,100.0
1,2,16,8,4,4,16,0,18219.0
1,4,2,128,8,2,4,0,18219.0
1,1,512,1,1,4,32,0,18207.0
0,2,16,8,16,16,1,0,100.0
1,32,32,1,1,32,2,0,18214.0
